id,scenario,question,expected_answer,generated_answer,latency_seconds,final_decision,string_matching,deterministic_pass,check_answer_not_empty,check_answer_is_short,check_contains_required,check_missing_terms,check_has_forbidden_terms,check_forbidden_terms_found,deterministic_score,deterministic_score_max
ideal_001,ideal,Quelle est la vente moyenne ?,La vente moyenne mensuelle est de 17 500 €.,La vente moyenne mensuelle est de 17 500 €. Elle est calculée à partir des ventes du dashboard.,0.0,PASS,True,True,True,True,True,[],False,[],5,5
ideal_002,ideal,Quelle région vend le plus ?,La région Nord vend le plus.,La région Nord vend le plus dans le dashboard.,0.001,PASS,True,True,True,True,True,[],False,[],5,5
ideal_003,ideal,Quelle est la pire région ?,"La pire région est l’Est, avec 19 000 € de ventes.","La pire région est l’Est, avec 19 000 € de ventes.",0.0,PASS,True,True,True,True,True,[],False,[],5,5
ideal_004,ideal,Quel est le total des ventes ?,Les ventes totales du dashboard sont de 105 000 €.,Les ventes totales du dashboard sont de 105 000 €.,0.0,PASS,True,True,True,True,True,[],False,[],5,5
ideal_005,ideal,Donne-moi les ventes totales.,Les ventes totales du dashboard sont de 105 000 €.,Les ventes totales du dashboard sont de 105 000 €.,0.0,PASS,True,True,True,True,True,[],False,[],5,5
ideal_006,ideal,Quelle est la moyenne des ventes ?,La vente moyenne mensuelle est de 17 500 €.,La vente moyenne mensuelle est de 17 500 €. Elle est calculée à partir des ventes du dashboard.,0.0,PASS,True,True,True,True,True,[],False,[],5,5
ideal_007,ideal,Quelle est la région la plus performante ?,La région Nord vend le plus.,La région Nord vend le plus dans le dashboard.,0.0,PASS,True,True,True,True,True,[],False,[],5,5
ideal_008,ideal,Quelle région vend le moins ?,"La région Est vend le moins, avec 19 000 €.","La pire région est l’Est, avec 19 000 € de ventes.",0.0,PASS,True,True,True,True,True,[],False,[],5,5
ideal_009,ideal,Donne-moi la meilleure région.,La région Nord vend le plus.,La région Nord vend le plus dans le dashboard.,0.0,PASS,True,True,True,True,True,[],False,[],5,5
ideal_010,ideal,Donne-moi la moins bonne région.,"La moins bonne région est l’Est, avec 19 000 € de ventes.","La pire région est l’Est, avec 19 000 € de ventes.",0.0,PASS,True,True,True,True,True,[],False,[],5,5
ideal_011,ideal,Quelle est la moyenne de vente ?,La vente moyenne mensuelle est de 17 500 €.,La vente moyenne mensuelle est de 17 500 €. Elle est calculée à partir des ventes du dashboard.,0.0,PASS,True,True,True,True,True,[],False,[],5,5
ideal_012,ideal,Quel est le chiffre total des ventes ?,Les ventes totales du dashboard sont de 105 000 €.,Les ventes totales du dashboard sont de 105 000 €.,0.0,PASS,True,True,True,True,True,[],False,[],5,5
ideal_013,ideal,Quelle région a les meilleures ventes ?,La région Nord vend le plus.,La région avec le plus de ventes est la Nord.,17.224,PASS,False,False,True,True,True,[],False,[],5,5
ideal_014,ideal,Quelle région a les ventes les plus faibles ?,"La région Est a les ventes les plus faibles, avec 19 000 €.","La région avec les ventes les moins faibles est l'Est, avec 19 000 €.",17.502,PASS,True,True,True,True,True,[],False,[],5,5
ideal_015,ideal,Combien représentent les ventes totales ?,Les ventes totales du dashboard sont de 105 000 €.,Les ventes totales du dashboard sont de 105 000 €.,0.0,PASS,True,True,True,True,True,[],False,[],5,5
realistic_001,realistic,C’est quoi en gros la moyenne des ventes ?,La vente moyenne mensuelle est de 17 500 €.,La vente moyenne mensuelle est de 17 500 €. Elle est calculée à partir des ventes du dashboard.,0.0,PASS,True,True,True,True,True,[],False,[],5,5
realistic_002,realistic,Dis-moi quelle zone marche le mieux,La région Nord vend le plus.,La région Nord vend le plus dans le dashboard.,0.0,PASS,True,True,True,True,True,[],False,[],5,5
realistic_003,realistic,"Vente moyenne, vente moyenne, vente moyennene",La vente moyenne mensuelle est de 17 500 €.,La vente moyenne mensuelle est de 17 500 €. Elle est calculée à partir des ventes du dashboard.,0.0,PASS,True,True,True,True,True,[],False,[],5,5
realistic_004,realistic,Combien on a fait de ventes au total déjà ?,Les ventes totales du dashboard sont de 105 000 €.,Les ventes totales du dashboard sont de 105 000 €.,0.001,PASS,True,True,True,True,True,[],False,[],5,5
realistic_005,realistic,C’est laquelle la région qui vend le plus déjà ?,La région Nord vend le plus.,"La région Nord vend le plus, avec des ventes totales inconnues mais supérieures à celles de la région Est (19 000 €).",21.077,PASS,True,True,True,True,True,[],False,[],5,5
realistic_006,realistic,Et la pire région c’est quoi ?,"La pire région est l’Est, avec 19 000 € de ventes.","La pire région est l’Est, avec 19 000 € de ventes.",0.0,PASS,True,True,True,True,True,[],False,[],5,5
